scientificName,decimalLongitude,decimalLatitude
Callinectes sapidus,-95.663333,28.763333
Callinectes sapidus,-97.206389,27.724444
Callinectes sapidus,-96.375,28.541667
Callinectes sapidus,-96.416667,28.398611
Callinectes sapidus,-76.33173332,38.63943335
Callinectes sapidus,-97.458333,26.691667
Callinectes sapidus,-96.391667,28.558333
Callinectes sapidus,-97.516667,27.233056
Callinectes sapidus,-96.033333,28.576389
Callinectes sapidus,-97.090556,28.1575
Callinectes sapidus,-76.469,38.80333333
Callinectes sapidus,-97.026111,28.008056
Callinectes sapidus,-97.287222,27.706667
Callinectes sapidus,-95.875,28.691667
Callinectes sapidus,-88.095,30.45
Callinectes sapidus,-96.841667,28.430556
Callinectes sapidus,-96.095833,28.5625
Callinectes sapidus,-96.975,28.041667
Callinectes sapidus,-87.8283,30.3933
Callinectes sapidus,-97.275,26.158333
Callinectes sapidus,-76.206,37.53666667
Callinectes sapidus,-97.039167,28.188333
Callinectes sapidus,-88.3217,30.3783
Callinectes sapidus,-97.070833,27.952778
Callinectes sapidus,-87.7367,30.2367
Callinectes sapidus,-96.701389,28.366667
Callinectes sapidus,-97.241667,26.175
Callinectes sapidus,-97.181944,27.698611
Callinectes sapidus,-96.140278,28.617222
Callinectes sapidus,-97.265278,26.084722
Callinectes sapidus,-97.380556,26.556944
Callinectes sapidus,-88.15,30.325
Callinectes sapidus,-87.4467,30.3683
Callinectes sapidus,-97.408333,26.575
Callinectes sapidus,-76.30123332,38.05988333
Callinectes sapidus,-96.383333,28.615278
Callinectes sapidus,-96.188889,28.623611
Callinectes sapidus,-96.697222,28.379167
Callinectes sapidus,-76.09328334,37.60571664
Callinectes sapidus,-96.225278,28.539722
Callinectes sapidus,-97.713889,27.263889
Callinectes sapidus,-97.463889,26.707778
Callinectes sapidus,-96.05,28.590278
Callinectes sapidus,-78.05899811,33.85499954
Callinectes sapidus,-97.241667,27.708333
Callinectes sapidus,-96.221389,28.503611
Callinectes sapidus,-96.958333,28.141667
Callinectes sapidus,-93.802778,29.833333
Callinectes sapidus,-96.579167,28.6875
Callinectes sapidus,-75.28333282,37.20000076
Callinectes sapidus,-96.406944,28.631944
Callinectes sapidus,-97.180556,27.8125
Callinectes sapidus,-97.148056,28.0325
Callinectes sapidus,-97.025,27.941667
Callinectes sapidus,-88.095,30.45
Callinectes sapidus,-96.75,28.416667
Callinectes sapidus,-97.265278,26.084722
Callinectes sapidus,-96.641111,28.291667
Callinectes sapidus,-96.692778,28.225
Callinectes sapidus,-97.393056,27.7875
Callinectes sapidus,-97.311111,26.323611
Callinectes sapidus,-97.443333,27.291944
Callinectes sapidus,-97.278611,26.143611
Callinectes sapidus,-96.817778,28.151944
Callinectes sapidus,-97.208333,26.158333
Callinectes sapidus,-87.545,30.28
Callinectes sapidus,-96.148611,28.759722
Callinectes sapidus,-97.008333,28.058333
Callinectes sapidus,-93.825,29.941667
Callinectes sapidus,-97.402778,27.308333
Callinectes sapidus,-97.096389,27.902778
Callinectes sapidus,-97.008333,27.941667
Callinectes sapidus,-75.18000031,38.59000015
Callinectes sapidus,-96.458333,28.541667
Callinectes sapidus,-97.285556,27.603333
Callinectes sapidus,-97.541667,27.325
Callinectes sapidus,-95.875,28.658333
Callinectes sapidus,-97.706667,27.373056
Callinectes sapidus,-97.363889,27.875
Callinectes sapidus,-97.456944,26.673611
Callinectes sapidus,-87.54,30.305
Callinectes sapidus,-87.54,30.305
Callinectes sapidus,-97.484722,27.829167
Callinectes sapidus,-97.424167,26.576667
Callinectes sapidus,-96.984167,27.983889
Callinectes sapidus,-75.96566667,37.56133333
Callinectes sapidus,-95.810833,28.684444
Callinectes sapidus,-87.7467,30.235
Callinectes sapidus,-76.03466667,37.23766667
Callinectes sapidus,-96.144167,28.615556
Callinectes sapidus,-88.15,30.325
Callinectes sapidus,-87.8283,30.3933
Callinectes sapidus,-96.258333,28.675
Callinectes sapidus,-97.442222,27.840278
Callinectes sapidus,-96.7575,28.191389
Callinectes sapidus,-87.7483,30.2933
Callinectes sapidus,-96.541389,28.592222
Callinectes sapidus,-97.425,26.675
Callinectes sapidus,-80.02700043,32.56499863
Callinectes sapidus,-88.095,30.45
Callinectes sapidus,-97.458333,26.7625
Callinectes sapidus,-87.8283,30.3933
Callinectes sapidus,-88.15,30.325
Callinectes sapidus,-96.775,28.375
Callinectes sapidus,-96.956111,28.117222
Callinectes sapidus,-97.408333,27.841667
Callinectes sapidus,-88.3217,30.3783
Callinectes sapidus,-96.349444,28.427222
Callinectes sapidus,-96.691389,28.275
Callinectes sapidus,-88.3217,30.3783
Callinectes sapidus,-87.7483,30.2933
Callinectes sapidus,-91.27916718,28.47443962
Callinectes sapidus,-97.291667,27.708333
Callinectes sapidus,-75.03333282,38.6333313
Callinectes sapidus,-97.391389,27.776389
Callinectes sapidus,-96.443056,28.426389
Callinectes sapidus,-97.048611,28.113889
Callinectes sapidus,-88.095,30.45
Callinectes sapidus,-97.226389,27.757778
Callinectes sapidus,-88.2133,30.2583
Callinectes sapidus,-88.095,30.45
Callinectes sapidus,-96.130833,28.619444
Callinectes sapidus,-96.508333,28.541667
Callinectes sapidus,-97.051389,27.877778
Callinectes sapidus,-96.924444,28.088333
Callinectes sapidus,-87.8283,30.3933
Callinectes sapidus,-76.19836667,38.15768334
Callinectes sapidus,-88.095,30.45
Callinectes sapidus,-95.816667,28.681944
Callinectes sapidus,-97.015278,27.920833
Callinectes sapidus,-97.319444,27.573333
Callinectes sapidus,-76.00966667,37.49066667
Callinectes sapidus,-88.02,30.505
Callinectes sapidus,-95.698611,28.748611
Callinectes sapidus,-93.863889,29.9375
Callinectes sapidus,-96.952778,28.140278
Callinectes sapidus,-87.8033,30.2733
Callinectes sapidus,-96.975,27.975
